"","教室","月1","月2","月3","月4","月5","火1","火2","火3","火4","火5","水1","水2","水3","水4","水5","木1","木2","木3","木4","木5","金1","金2","金3","金4","金5"
"126","ゼミ１０５Ｆ","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1","0","1","0","0","1"
"127","研究室８４１５","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"128","９７３教室","0","1","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"129","研究室８４１８","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"130","９７８教室","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0"
"131","ゼミ７１教室","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","0","1","0"
"132","ゼミ１０１Ｆ","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0"
"133","１０３１５教室","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","0"
"134","７１３教室","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0"
"135","７１４教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0"
"136","５２６教室","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0"
"137","１１８教室","0","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","1","1","1","0","1","1","0","0","0"
"138","ゼミ１０１Ｃ","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","0","0","0"
"139","９７９教室","1","1","1","1","0","0","1","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1"
"140","研究室９７２６","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","ゼミ１０５Ｅ","0","0","0","1","0","1","1","0","0","0","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0"
"142","研究室９７１１","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","１０３０４教室","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1"
"144","１４教室","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1"
"145","１２教室","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","0","1","1","1","0"
"146","４２３教室","1","1","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","1","1","1","1","1","1","1","0"
"147","１２５教室","1","1","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","1","1","0","0","0","1","0"
"148","４２９教室","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0"
"149","５４１教室","0","1","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","1","1","1","0"
"150","１０６教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"151","４２２教室","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","0","0"
"152","１０７教室","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"153","２０７教室","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"154","１０４教室","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"155","２０１教室","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"156","９７７教室","0","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1"
"157","２０３教室","1","0","1","0","0","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1"
"158","２０４教室","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
"159","２０６教室","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"160","１００４２教室","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"161","１００５２教室","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1"
"162","２０５教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"163","９６７教室","1","1","1","1","0","1","1","1","1","0","1","0","1","0","0","1","1","1","1","0","1","1","1","1","0"
"164","３０６教室","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","0","1","1","1","0","1","1","1","0","0"
"165","３０１教室","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0"
"166","ゼミ７８教室","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","0"
"167","ゼミ４５教室","0","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","0","1","1","1","0","1","0","1","0"
"168","グローバルＣ","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"169","１０３教室","0","1","1","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1"
"170","１００６１教室","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0"
